"","x"
"288","배틀그라운드"
"289","FPS, 슈팅게임"
"290","지역"
"291","비디오게임"
"292","게임리그, 게이머"
"293","리니지"
"294","오버워치"
"295","메이플스토리"
"296","메이플스토리실행"
"297","게임사, 게임사이..."
"298","게임 제작, 기획"
"299","메이플스토리"
"300","메이플스토리실행"
"301","닌텐도DS"
"302","모바일게임"
"303","FPS, 슈팅게임"
"304","퀘스트"
"305","게임리그, 게이머"
"306","포켓몬"
"307","플레이스테이션"
"308","플레이스테이션"
"309","건즈더듀얼"
"310","몬스터"
"311","모바일게임"
"312","보드, 퍼즐 게임"
"313","모바일게임"
"314","마인크래프트"
"315","모바일게임"
"316","게임사, 게임사이..."
"317","모바일게임"
"318","캐릭터"
"319","바람의나라실행"
"320","레인보우식스"
"321","모바일게임"
"322","게임리그, 게이머"
"323","액션, 어드벤처..."
"324","마인크래프트"
"325","심즈"
"326","마인크래프트"
"327","오버워치"
"328","나이트온라인"
"329","마인크래프트"
"330","그란투리스모"
"331","건즈더듀얼"
"332","FPS, 슈팅게임"
"333","액션, 어드벤처..."
"334","지역"
"335","모바일게임"
"336","게임사, 게임사이..."
"337","게임사, 게임사이..."
"338","파이널판타지"
"339","체스"
"340","게임 제작, 기획"
"341","슈퍼마리오"
"342","메달오브아너"
"343","심즈"
"344","인디게임"
"345","카드게임"
"346","스타크래프트"
"347","오크"
"348","피파시리즈"
"349","리그오브레전드"
"350","바둑"
"351","풋볼매니저"
"352","모바일게임"
"353","레이싱게임"
"354","배틀필드"
"355","포켓몬"
"356","캐릭터"
"357","아이템"
"358","모바일게임"
"359","지역"
"360","게임리그, 게이머"
"361","디아블로"
"362","닌텐도DS"
"363","오버워치"
"364","지역"
"365","저그"
"366","FPS, 슈팅게임"
"367","캐릭터"
"368","포켓몬"
"369","마인크래프트"
"370","디아블로"
"371","디아블로"
"372","액션, 어드벤처..."
"373","모바일게임"
"374","게임리그, 게이머"
"375","액션, 어드벤처..."
"376","건즈더듀얼"
"377","나이트엘프"
"378","리니지2"
"379","모바일게임"
"380","리그오브레전드"
"381","화투게임"
"382","인디게임"
"383","마인크래프트"
"384","포켓몬"
"385","서든어택"
"386","액션, 어드벤처..."
"387","서든어택"
"388","게임사, 게임사이..."
"389","플레이스테이션"
"390","FPS, 슈팅게임"
"391","인디게임"
"392","캐릭터"
"393","게임 제작, 기획"
"394","게임리그, 게이머"
"395","심즈"
"396","포트리스"
"397","디아블로"
"398","오버워치"
"399","롤플레잉게임"
"400","보드, 퍼즐 게임"
"401","피파시리즈"
"402","모바일게임"
"403","리그오브레전드"
"404","포켓몬"
"405","지역"
"406","닌텐도DS"
"407","인디게임"
"408","심즈"
"409","리그오브레전드"
"410","게임리그, 게이머"
"411","액션, 어드벤처..."
